Dish,Origin
Chow mein,Chinese
Noodle soup,Chinese
Zhajiangmian,Chinese
Lamian,Chinese
Liangpi,Chinese
Lo mein,Chinese
Biangbiang noodles,Chinese
Sliced Noodles,Chinese
Chongqing noodles,Chinese
Shacha noodles,Chinese
Noodles with tomato egg sauce,Chinese
White rice,Chinese
Fried Rice,Chinese
Braised pork belly,Chinese
Braised pork,Chinese
Sweet and sour pork,Chinese
Twice cooked pork,Chinese
Char siu,Chinese
Century egg,Chinese
Kung Pao chicken,Chinese
Peking Duck,Chinese
Soy egg,Chinese
Tea egg,Chinese
Fujian red wine chicken,Chinese
Stir-fried tomato and scrambled eggs,Chinese
Buddha's delight,Chinese
Pickled vegetables,Chinese
Double steaming / double boiling,Chinese
Red cooking,Chinese
Stir frying,Chinese
Dumplings,Chinese
English,Chinese
Baozi,Chinese
Dim sum,Chinese
Potsticker,Chinese
Jiaozi,Chinese
Mantou,Chinese
Wonton,Chinese
Xiaolongbao,Chinese
Zongzi,Chinese
Tangyuan,Chinese
Cha siu bao,Chinese
Scallion pancake,Chinese
Mooncake,Chinese
Sachima,Chinese
Shaobing,Chinese
Youtiao,Chinese
Congee,Chinese
Hot and sour soup,Chinese
Hot pot,Chinese
Tong sui,Chinese
Bang Tofu,Chinese
Bright Pearl Abalone,Chinese
Caterpillar Fungus Duck,Chinese
Crab and Fish Stomachs,Chinese
Crab-apple Flower Cake,Chinese
Dried Pot Tofu,Chinese
Five Colours Fish Cake,Chinese
Flower Mushroom Frog,Chinese
Steamed Pumpkin Dumplings,Chinese
Fried Tofu Curd Balls,Chinese
Fuli Roast Chicken,Chinese
Ginger Duck,Chinese
Hay Wrapped Fragrant Ribs,Chinese
Jade Rabbit Sea Cucumber,Chinese
Lotus Seed Pod Fish,Chinese
Phoenix Tail Shrimp,Chinese
Potato Croquet,Chinese
Silver Fish Fried Egg,Chinese
Soy Braised Mandarin Fish,Chinese
Peking Duck,Chinese
Zhajiangmian,Chinese
Xianbing,Chinese
Crullers,Chinese
Braised abalone,Chinese
Shaved ice,Chinese
Beef chow fun,Chinese
Bird's nest soup,Chinese
Black sesame soup,Chinese
Cantonese seafood soup,Chinese
Char siu,Chinese
Crispy fried chicken,Chinese
Duck with taro,Chinese
Guilinggao,Chinese
Little pan rice,Chinese
Red bean soup,Chinese
Roast squab,Chinese
Roast suckling pig,Chinese
Sea cucumber,Chinese
Seafood with bird's nest,Chinese
Shark fin soup,Chinese
Snow fungus soup,Chinese
Sour spare ribs,Chinese
Spare ribs soup with watercress and apricot kernels,Chinese
White cut chicken,Chinese
Winter melon soup,Chinese
Wonton noodles,Chinese
Yeung Chow fried rice,Chinese
Youtiao,Chinese
Zhaliang,Chinese
Yusheng,Chinese
Popiah,Chinese
Buddha jumps over the wall,Chinese
Fried rice in Fujian style,Chinese
Oyster omelette,Chinese
Popiah,Chinese
Yanpi,Chinese
Luosifen,Chinese
Ningmeng ya,Chinese
Hainanese chicken rice,Chinese
Wenchang chicken,Chinese
Hakka,Chinese
Meigan vegetable,Chinese
Stuffed bitter melon,Chinese
Stuffed tofu,Chinese
Changsha stinky tofu,Chinese
Xiangxi bacon,Chinese
Xiangxi rice tofu,Chinese
Hot dry noodles,Chinese
Chongqing spicy deep-fried chicken,Chinese
Dandan noodles,Chinese
Fuqi Feipian,Chinese
Sichuan hotpot,Chinese
Kung Pao chicken,Chinese
Mapo tofu,Chinese
Shuizhu,Chinese
Twice cooked pork,Chinese
Zhangcha duck,Chinese
Crossing the bridge noodles,Chinese
Beggar's Chicken,Chinese
Braised Sliced Pork with Preserved Vegetables,Chinese
Cold Chicken Cooked in Wine,Chinese
Dongpo Braised Pork,Chinese
Fish Ball in Light Soup,Chinese
Fried Eel Slices,Chinese
Fried Pigeon with Spiced Salt,Chinese
Fried Shrimps with Longjing Tea,Chinese
Fried Stuffed Bean Curd Paste,Chinese
Fried Sweet and Sour Pork,Chinese
Hangzhou-Style Duck Pickled in Soy Sauce,Chinese
Old Duck Stewed with Bamboo Root & Ham,Chinese
Red-Stewed Duck,Chinese
Sauteed Broad Beans with Ham,Chinese
Sauteed Shrimps,Chinese
Sizzling Rice in Tomato Sauce,Chinese
Steamed Pork with Rice Flour in Lotus Leaf,Chinese
Stewed Spring Bamboo Shoots,Chinese
Stir-Fried Spring Chicken with Chestnuts,Chinese
West Lake Fish in Vinegar Sauce,Chinese
Gohan,Japanese
Curry rice,Japanese
meshi,Japanese
Chāhan ,Japanese
yakimeshi,Japanese
Genmai gohan ,Japanese
Hayashi rice ,Japanese
Kamameshi ,Japanese
Katemeshi,Japanese
Mochi,Japanese
Mugi gohan,Japanese
Mugi meshi,Japanese
Ochazuke,Japanese
Okowa,Japanese
Omurice,Japanese
Onigiri,Japanese
Sekihan,Japanese
Takikomi gohan,Japanese
Tamago kake gohan ,Japanese
Tenmusu,Japanese
Chāhan,Japanese
Chazuke,Japanese
Sekihan,Japanese
Omurice,Japanese
Okowa,Japanese
Tenmusu,Japanese
Nanakusa-gayu,Japanese
